partner,n,spearman_rho,p_value
phyloP100way_vertebrate,27927,-0.313708189703998,0.0
GERP++_RS,27927,-0.2907665721933195,0.0
phyloP30way_mammalian,27927,-0.27484266089548887,0.0
phastCons30way_mammalian,27927,-0.26461360710514725,0.0
phastCons100way_vertebrate,27927,-0.2529119229027364,0.0
BLOSUM62_score,27927,0.25087857778813605,0.0
Grantham_distance,27927,-0.2189667237981866,2.499644715462942e-300
mis_z,27927,-0.0917668854616071,2.714366225397594e-53
oe_mis_upper,27927,0.08997010283474885,2.746422838440759e-51
oe_lof_upper,27927,0.06416682658582164,7.067646136670173e-27
pLI,27927,-0.0532429307490098,5.409234309080941e-19
lof_z,27927,-0.0502953339304025,4.10055143657811e-17
GERP++_NR,27927,-0.044539182838007896,9.587002745538627e-14
AN,27927,-0.02194677598496958,0.0002445648946186764
AF_popmax,27927,-0.021290891128574393,0.00037334192701150317
AC,27927,-0.021223820400880805,0.0003895963650640953
log_AF,27927,-0.02122101916239395,0.0003902894161269077
